"Feature ID"	"Taxon"	"Confidence"
"cfbc67d0a0ac39f54419ba44985ff097"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae"	0.9996292972984
"8be53ed3f8b41a4059d26d93293c8609"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia"	0.850909181628331
"5f46462d647b007128e6241eeff19b19"	"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured"	0.999691972208927
"08a376ec2f0de3acc36f1434a7d21165"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__MND1"	0.999997284391677
"e0ad08306f40703f43e01b3b03e6a115"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Fimbriiglobus"	0.814858255617225
"4ef67161dbb5f500e675ab2e48dac92e"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_2; f__Subgroup_2; g__Subgroup_2; s__uncultured_Holophaga"	0.92822189370543
"c816b1c39fe333dcb1d95cceaa6abd56"	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrososphaera"	0.999544671291648
"eade20db6f82a0840ffdf2088f3a073f"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Blastopirellula"	0.88394272088768
"10762daa9072cbf826ef600a894cbaac"	"d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured"	0.957263626864395
"0b29b5570338595ce15ff3f0b7e0cade"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Zavarzinella; s__Zavarzinella_formosa"	0.752897491157552
